"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2024","7.0176","7.0176","7.0176","7.0176","","0.00%"
"10/04/2024","7.0176","7.0176","7.0176","7.0176","","0.00%"
"10/03/2024","7.0176","7.0176","7.0176","7.0176","","0.00%"
"10/02/2024","7.0176","7.0176","7.0176","7.0176","","0.00%"
"10/01/2024","7.0176","7.0176","7.0176","7.0176","","0.00%"
"09/30/2024","7.0176","7.0155","7.0190","7.0114","","0.09%"
"09/27/2024","7.0110","7.0160","7.0190","7.0110","","0.01%"
"09/26/2024","7.0106","7.0311","7.0311","7.0106","","-0.30%"
"09/25/2024","7.0315","7.0205","7.0315","7.0160","","0.00%"
"09/24/2024","7.0318","7.0557","7.0631","7.0318","","-0.27%"
"09/23/2024","7.0508","7.0461","7.0603","7.0443","","0.00%"
"09/20/2024","7.0505","7.0583","7.0625","7.0425","","-0.24%"
"09/19/2024","7.0675","7.1030","7.1086","7.0600","","-0.19%"
"09/18/2024","7.0812","7.0954","7.0999","7.0781","","-0.17%"
"09/17/2024","7.0930","7.0930","7.0930","7.0930","","0.00%"
"09/16/2024","7.0930","7.0930","7.0930","7.0930","","0.00%"
"09/13/2024","7.0930","7.1068","7.1111","7.0900","","-0.34%"
"09/12/2024","7.1172","7.1223","7.1243","7.1155","","-0.03%"
"09/11/2024","7.1192","7.1216","7.1216","7.1075","","-0.02%"
"09/10/2024","7.1205","7.1181","7.1252","7.1171","","0.10%"
"09/09/2024","7.1133","7.1073","7.1166","7.1058","","0.36%"
"09/06/2024","7.0876","7.0870","7.0955","7.0815","","-0.06%"
"09/05/2024","7.0921","7.1010","7.1033","7.0871","","-0.28%"
"09/04/2024","7.1119","7.1128","7.1173","7.1069","","-0.13%"
"09/03/2024","7.1209","7.1188","7.1245","7.1137","","0.05%"
"09/02/2024","7.1170","7.0970","7.1185","7.0950","","0.38%"
"08/30/2024","7.0900","7.0910","7.1012","7.0847","","-0.10%"
"08/29/2024","7.0972","7.1285","7.1312","7.0908","","-0.38%"
"08/28/2024","7.1245","7.1230","7.1351","7.1218","","0.00%"
"08/27/2024","7.1244","7.1246","7.1316","7.1207","","0.04%"
"08/26/2024","7.1212","7.1142","7.1241","7.1135","","-0.04%"
"08/23/2024","7.1244","7.1433","7.1468","7.1195","","-0.27%"
"08/22/2024","7.1440","7.1321","7.1453","7.1305","","0.13%"
"08/21/2024","7.1344","7.1316","7.1375","7.1257","","0.03%"
"08/20/2024","7.1320","7.1330","7.1497","7.1310","","-0.10%"
"08/19/2024","7.1393","7.1491","7.1558","7.1313","","-0.35%"
"08/16/2024","7.1644","7.1771","7.1785","7.1605","","-0.13%"
"08/15/2024","7.1734","7.1602","7.1760","7.1529","","0.49%"
"08/14/2024","7.1382","7.1466","7.1537","7.1346","","-0.24%"
"08/13/2024","7.1551","7.1790","7.1825","7.1521","","-0.27%"
"08/12/2024","7.1744","7.1732","7.1825","7.1711","","0.12%"
"08/09/2024","7.1660","7.1775","7.1790","7.1636","","-0.12%"
"08/08/2024","7.1747","7.1775","7.1796","7.1555","","-0.02%"
"08/07/2024","7.1760","7.1712","7.1865","7.1712","","0.28%"
"08/06/2024","7.1563","7.1606","7.1606","7.1417","","0.37%"
"08/05/2024","7.1300","7.1503","7.1557","7.1155","","-0.42%"
"08/02/2024","7.1600","7.2444","7.2465","7.1559","","-1.16%"
"08/01/2024","7.2441","7.2121","7.2477","7.2095","","0.34%"
"07/31/2024","7.2193","7.2288","7.2398","7.2143","","-0.44%"
"07/30/2024","7.2511","7.2633","7.2649","7.2473","","-0.12%"
"07/29/2024","7.2597","7.2528","7.2605","7.2511","","0.13%"
"07/26/2024","7.2502","7.2408","7.2543","7.2303","","0.27%"
"07/25/2024","7.2310","7.2608","7.2638","7.2100","","-0.43%"
"07/24/2024","7.2625","7.2749","7.2774","7.2621","","-0.17%"
"07/23/2024","7.2748","7.2729","7.2748","7.2726","","0.02%"
"07/22/2024","7.2736","7.2732","7.2739","7.2706","","0.06%"
"07/19/2024","7.2695","7.2657","7.2696","7.2651","","0.13%"
"07/18/2024","7.2600","7.2565","7.2608","7.2518","","-0.01%"
"07/17/2024","7.2607","7.2685","7.2688","7.2522","","-0.11%"
"07/16/2024","7.2685","7.2644","7.2685","7.2644","","0.13%"
"07/15/2024","7.2592","7.2613","7.2637","7.2576","","0.13%"
"07/12/2024","7.2500","7.2603","7.2648","7.2482","","-0.10%"
"07/11/2024","7.2576","7.2746","7.2749","7.2491","","-0.25%"
"07/10/2024","7.2759","7.2748","7.2761","7.2748","","0.05%"
"07/09/2024","7.2725","7.2708","7.2725","7.2708","","0.06%"
"07/08/2024","7.2683","7.2667","7.2702","7.2667","","0.00%"
"07/05/2024","7.2680","7.2656","7.2693","7.2650","","0.02%"
"07/04/2024","7.2668","7.2704","7.2717","7.2667","","-0.04%"
"07/03/2024","7.2699","7.2724","7.2735","7.2675","","-0.02%"
"07/02/2024","7.2712","7.2700","7.2713","7.2700","","0.04%"
"07/01/2024","7.2683","7.2671","7.2684","7.2669","","0.02%"
"06/28/2024","7.2672","7.2671","7.2680","7.2620","","-0.02%"
"06/27/2024","7.2688","7.2672","7.2689","7.2666","","0.03%"
"06/26/2024","7.2666","7.2648","7.2667","7.2648","","0.05%"
"06/25/2024","7.2629","7.2605","7.2629","7.2584","","0.06%"
"06/24/2024","7.2586","7.2610","7.2618","7.2569","","-0.03%"
"06/21/2024","7.2609","7.2600","7.2612","7.2600","","0.01%"
"06/20/2024","7.2604","7.2589","7.2604","7.2587","","0.05%"
"06/19/2024","7.2569","7.2553","7.2572","7.2552","","0.04%"
"06/18/2024","7.2543","7.2551","7.2563","7.2539","","-0.02%"
"06/17/2024","7.2561","7.2545","7.2561","7.2536","","0.01%"
"06/14/2024","7.2557","7.2543","7.2560","7.2539","","0.05%"
"06/13/2024","7.2522","7.2479","7.2527","7.2479","","0.20%"
"06/12/2024","7.2380","7.2525","7.2538","7.2380","","-0.23%"
"06/11/2024","7.2544","7.2517","7.2544","7.2517","","0.10%"
"06/07/2024","7.2475","7.2446","7.2475","7.2397","","0.04%"
"06/06/2024","7.2447","7.2456","7.2474","7.2424","","-0.04%"
"06/05/2024","7.2476","7.2418","7.2477","7.2418","","0.11%"
"06/04/2024","7.2393","7.2420","7.2463","7.2357","","-0.04%"
"06/03/2024","7.2420","7.2436","7.2467","7.2415","","0.01%"
"05/31/2024","7.2415","7.2336","7.2444","7.2336","","0.13%"
"05/30/2024","7.2318","7.2487","7.2496","7.2318","","-0.24%"
"05/29/2024","7.2489","7.2472","7.2495","7.2469","","0.06%"
"05/28/2024","7.2448","7.2448","7.2471","7.2444","","0.01%"
"05/27/2024","7.2440","7.2425","7.2453","7.2425","","0.02%"
"05/24/2024","7.2425","7.2443","7.2455","7.2412","","0.01%"
"05/23/2024","7.2415","7.2424","7.2452","7.2388","","0.01%"
"05/22/2024","7.2409","7.2389","7.2409","7.2373","","0.05%"
"05/21/2024","7.2376","7.2391","7.2417","7.2324","","0.04%"
